Nom,Actions,Actions légendaires,CA,CHAR,CON,DEX,Description,FOR,INT,Modif. CHAR,Modif. CON,Modif. DEX,Modif. FOR,Modif. INT,Modif. SAG,PV,Puissance (XP),Race,SAG,Taille,Vitesse
Drow,"Épée courte. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché : 5 (1d6 + 2) dégâts perforants.
Arbalète de poing. Attaque à distance avec une arme : +4 au toucher, portée 9/36 m, une cible. Touché : 5 (1d6 + 2) dégâts perforants, et la cible doit réussir un jet de sauvegarde de Constitution DD 13 ou être empoisonnée pendant 1 heure. Si le jet de sauvegarde échoue de 5 ou plus, la cible est également inconsciente tant qu'elle est empoisonnée de la sorte. La cible se réveille si elle subit des dégâts ou si une autre créature utilise son action pour la secouer.",,15,12,10,14,"Compétences Discrétion +4, Perception +2
Sens vision dans le noir 36 m, Perception passive 12
Langues elfique, commun des profondeurs

Ascendance féerique. Le drow a un avantage aux jets de sauvegarde contre les effets de charme, et la magie ne peut pas l'endormir.
Incantation innée. La caractéristique d'incantation innée du drow est le Charisme (jet de sauvegarde contre ses sorts DD 11). Il peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :À volonté : https://www.aidedd.org/dnd/sorts.php?vf=lumieres-dansantes1/jour chacun : https://www.aidedd.org/dnd/sorts.php?vf=tenebres, https://www.aidedd.org/dnd/sorts.php?vf=lueurs-feeriques
Sensibilité au soleil. S'il est exposé à la lumière du soleil, le drow a un désavantage aux jets d'attaque et aux jets de Sagesse (Perception) basés sur la vue.",10,11,1,0,2,0,0,0,13,50,Humanoïde,11,M,9m
Guerrier d’élite Drow,"Actions
Attaques multiples. Le drow effectue deux attaques d'épée courte.
Épée courte. Attaque au corps à corps avec une arme : +7 au toucher, allonge 1,50 m, une cible. Touché : 7 (1d6 + 4) dégâts perforants + 10 (3d6) dégâts de poison.
Arbalète de poing. Attaque à distance avec une arme : +7 au toucher, portée 9/36 m, une cible. Touché : 7 (1d6 + 4) dégâts perforants, et la cible doit réussir un jet de sauvegarde de Constitution DD 13 ou être empoisonnée pendant 1 heure. Si le jet de sauvegarde échoue de 5 ou plus, la cible est également inconsciente tant qu'elle est empoisonnée de la sorte. La cible se réveille si elle subit des dégâts ou si une autre créature utilise son action pour la secouer.
Réactions
Parade. Le drow ajoute 3 à sa CA contre une attaque au corps à corps qui le toucherait. Pour cela, il doit voir l'attaquant et avoir en main une arme de corps à corps.",,18,12,14,18,"Jets de sauvegarde Dex +7, Con +5, Sag +4
Compétences Discrétion +10, Perception +4
Sens vision dans le noir 36 m, Perception passive 14
Langues elfique, commun des profondeursPuissance 5 (1800 PX)

Ascendance féerique. Le drow a un avantage aux jets de sauvegarde contre les effets de charme, de plus il est immunisé contre le sommeil magique.
Incantation innée. La caractéristique d'incantation innée du drow est le Charisme (jet de sauvegarde contre ses sorts DD 12). Il peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :À volonté : https://www.aidedd.org/dnd/sorts.php?vf=lumieres-dansantes1/jour chacun : https://www.aidedd.org/dnd/sorts.php?vf=tenebres, https://www.aidedd.org/dnd/sorts.php?vf=lueurs-feeriques, https://www.aidedd.org/dnd/sorts.php?vf=levitation (personnel uniquement)
Sensibilité au soleil. S'il est exposé à la lumière du soleil, le drow a un désavantage aux jets d'attaque et aux jets de Sagesse (Perception) basés sur la vue.",13,11,1,2,4,1,0,1,71,1800,Humanoïde,13,M,9m
Guenaude marine,"Griffes. Attaque au corps à corps avec une arme : +5 au toucher, allonge 1,50 m, une cible. Touché : 10 (2d6 + 3) dégâts tranchants.
Éblouissement mortel. La guenaude cible une créature effrayée qu'elle peut voir et située dans un rayon de 9 mètres autour d'elle. Si la cible peut voir la guenaude, elle doit réussir un jet de sauvegarde de Sagesse DD 11 contre la magie ou tomber à 0 point de vie.
Apparence illusoire. La guenaude se déguise, elle et tout ce qu'elle porte ou transporte, grâce à une illusion magique, en une créature laide de forme humanoïde et ayant à peu près sa taille. L'effet se termine si la guenaude utilise son action bonus pour y mettre fin ou si elle meurt. Les modifications corporelles apportées par cet effet ne parviennent pas à duper une inspection corporelle. Par exemple, la guenaude peut sembler ne pas avoir de griffes, mais quelqu'un touchant ses mains sentira ses griffes. Sinon, une créature doit utiliser une action pour inspecter visuellement l'illusion et réussir un jet d'Intelligence (Investigation) DD 16 pour remarquer que la guenaude est déguisée.",,14,13,16,13,"Sens vision dans le noir 18 m, Perception passive 11Langues aquatique, commun, géant
Amphibien. La guenaude peut respirer aussi bien dans l'air que sous l'eau.

Apparence horrifique. Un humanoïde commençant son tour dans un rayon de 9 mètres autour de la guenaude, et qui peut voir sa forme véritable, doit effectuer un jet de sauvegarde de Sagesse DD 11. En cas d'échec, la créature est effrayée pendant 1 minute. Une créature peut retenter son jet de sauvegarde à la fin de chacun de ses tours, avec un désavantage si la guenaude se trouve dans sa ligne de mire, mettant fin à l'effet en cas de réussite. Si le jet de sauvegarde d'une créature est une réussite ou si l'effet prend fin, la créature devient immunisée contre l'apparence horrifique de la guenaude pour les 24 prochaines heures. À moins que la cible ne soit prise par surprise, ou que la révélation de la forme véritable de la guenaude soit soudaine, la cible peut détourner le regarde et ainsi éviter de faire le premier jet de sauvegarde. Jusqu'à la fin de son prochain tour, une créature qui a détourné le regard a un désavantage aux jets d'attaque effectués contre le guenaude.",16,12,1,3,1,3,1,1,52,450,Féé,12,M,"9m, 12m nage"
Merrow,"Attaques multiples. Le merrow effectue deux attaques : une de morsure et une avec ses griffes ou avec le harpon.
Griffes. Attaque au corps à corps avec une arme : +6 au toucher, allonge 1,50 m, une cible. Touché : 9 (2d4 + 4) dégâts tranchants.
Morsure. Attaque au corps à corps avec une arme : +6 au toucher, allonge 1,50 m, une cible. Touché : 8 (1d8 + 4) dégâts perforants.
Harpon. Attaque au corps à corps ou à distance avec une arme : +6 au toucher, allonge 1,50 m ou portée 6/18 m, une cible. Touché : 11 (2d6 + 4) dégâts perforants. Si la cible est de taille TG ou inférieure, elle doit réussir un jet de Force contre le merrow ou être tirée de 6 mètres vers le merrow.",,13,9,15,10,"Sens vision dans le noir 18 m, Perception passive 10
Langues abyssal, aquatique
Amphibien. Le merrow peut respirer aussi bien dans l'air que sous l'eau.",18,8,-1,2,0,4,-1,0,45,450,Monstruosité,10,G,"3m, nage 12m"
Plésiosaure,"Morsure. Attaque au corps à corps avec une arme : +6 au toucher, allonge 3 m, une cible. Touché : 14 (3d6 + 4) dégâts perforants.",,13,5,16,15,"Compétences Discrétion +4, Perception +3Sens Perception passive 13
Langues —
Apnée. Le plésiosaure peut retenir son souffle durant 1 heure.",18,2,-3,3,2,4,-4,1,68,450,Bête,12,G,"6m, 12m nage"
Sahuagin,"Attaques multiples. Le sahuagin effectue deux attaques : une de morsure et une avec ses griffes ou sa lance.
Morsure. Attaque au corps à corps avec une arme : +3 au toucher, allonge 1,50 m, une cible. Touché : 3 (1d4 + 1) dégâts perforants.
Griffes. Attaque au corps à corps avec une arme : +3 au toucher, allonge 1,50 m, une cible. Touché : 3 (1d4 + 1) dégâts tranchants.
Lance. Attaque au corps à corps ou à distance avec une arme : +3 au toucher, allonge 1,50 m ou portée 6/18 m, une cible. Touché : 4 (1d6 + 1) dégâts perforants, ou 5 (1d8 + 1) dégâts perforants si utilisée à deux mains pour faire une attaque au corps à corps.",,12,9,12,11,"Compétences Perception +5
Sens vision dans le noir 36 m, Perception passive 15
Langues sahuagin
Frénésie sanguinaire. Le sahuagin a un avantage aux jets d'attaque au corps à corps contre une créature qui n'a pas tous ses points de vie.
Amphibie limitée. Le sahuagin peut respirer sur terre ou dans l'eau, mais il a besoin d'être immergé au moins une fois toutes les 4 heures pour éviter de s'étouffer.

Télépathie avec les requins. Le sahuagin peut prendre magiquement le contrôle de n'importe quel requin dans un rayon de 36 mètres autour de lui, en utilisant une forme limitée de télépathie.",13,12,-1,1,0,1,1,1,22,100,Humanoïde,13,M,"9m, 12m"
Sahuagin Baron,"Attaques multiples. Le sahuagin effectue trois attaques : une de morsure et deux avec ses griffes ou avec le trident.
Griffes. Attaque au corps à corps avec une arme : +7 au toucher, allonge 1,50 m, une cible. Touché : 11 (2d6 + 4) dégâts tranchants.
Morsure. Attaque au corps à corps avec une arme : +7 au toucher, allonge 1,50 m, une cible. Touché : 9 (2d4 + 4) dégâts perforants.
Trident. Attaque au corps à corps ou à distance avec une arme : +7 au toucher, allonge 1,50 m ou portée 6/18 m, une cible. Touché : 11 (2d6 + 4) dégâts perforants, ou 13 (2d8 + 4) dégâts perforants si utilisé à deux mains pour effectuer une attaque au corps à corps.",,16,17,16,15,"Jets de sauvegarde Dex +5, Con +6, Int +5, Sag +4
Compétences Perception +7Sens vision dans le noir 36 m, Perception passive 17
Langues sahuagin

Frénésie sanguinaire. Le sahuagin a un avantage aux jets d'attaque au corps à corps contre une créature qui n'a pas tous ses points de vie.
Amphibie limitée. Le sahuagin peut respirer sur terre ou dans l'eau, mais il a besoin d'être immergé au moins une fois toutes les 4 heures pour éviter de s'étouffer.
Télépathie avec les requins. Le sahuagin peut prendre magiquement le contrôle de n'importe quel requin dans un rayon de 36 mètres autour de lui, en utilisant une forme limitée de télépathie.",19,14,3,3,2,4,2,1,76,1800,Humanoïde,13,,"9m, 15m nage"
Cultiste de la mort,"Multiattack. The cultist makes three attacks, using Dread Scythe or Deathly Ray in any combination.
Dread Scythe. Melee Attack Roll: +7, reach 10 ft. Hit: 9 (1d10 + 4) Slashing damage plus 11 (2d10) Necrotic damage, and the target can't regain Hit Points until the end of its next turn.
Deathly Ray. Ranged Attack Roll: +6, range 120 ft. Hit: 22 (4d10) Necrotic damage.
Spellcasting. The cultist casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 14):At will: https://www.aidedd.org/spell/speak-with-dead, https://www.aidedd.org/spell/thaumaturgy",,17,14,18,12,"Skills Insight +6, Perception +6, Religion +4
Gear Splint Armor
Senses Passive Perception 16
Languages Common",19,12,2,4,1,4,1,3,127,3900,Humanoïde,16,M,9m
Dévoreur d’intellect,"Attaques multiples. Le dévoreur d'intellect effectue une attaque avec ses griffes et utilise Consommation de l'intellect.
Griffes. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché : 7 (2d4 + 2) dégâts tranchants.
Consommation de l'intellect. Le dévoreur d'intellect cible une créature possédant un cerveau qu'il peut voir et qui se trouve dans un rayon de 3 mètres autour de lui. La cible doit réussir un jet de sauvegarde d'Intelligence DD 12 contre cette magie ou subir 11 (2d10) dégâts psychiques. De plus, en cas d'échec, lancez 3d6. Si le total est égal ou supérieur à la valeur d'Intelligence, cette valeur est réduite à 0. La cible est étourdie jusqu'à ce qu'elle regagne au moins un point d'Intelligence.
Vol de corps. Le dévoreur d'intellect débute une opposition d'Intelligence contre un humanoïde incapable d'agir se trouvant à 1,50 mètre de lui et qui n'est pas protégé par une protection contre le Mal ou le Bien. S'il gagne l'opposition, le dévoreur d'intellect dévore par magie le cerveau de la cible, se téléporte à l'intérieur du crâne de la cible, et prend le contrôle de son corps. Une fois à l'intérieur d'une créature, le dévoreur d'intellect bénéficie d'un abri total contre les attaques et effets émanant de l'extérieur de son hôte. Le dévoreur d'intellect conserve ses valeurs d'Intelligence, de Sagesse et de Charisme, ainsi que sa compréhension du profond, sa télépathie, et ses traits. Pour le reste, il utilise les statistiques de la cible. Il connait tout ce que la créature savait, sorts et langages inclus. Si le corps de la cible meurt, le dévoreur d'intellect doit le quitter. Un sort de https://www.aidedd.org/dnd/sorts.php?vf=protection-contre-le-mal-et-le-bien lancé sur le corps oblige le dévoreur d'intellect à le quitter. Le dévoreur d'intellect est aussi forcé de sortir si la cible récupère son cerveau au moyen d'un https://www.aidedd.org/dnd/sorts.php?vf=souhait. En utilisant 1,50 mètre de mouvement, le dévoreur d'intellect peut volontairement quitter le corps, se téléportant sur le plus proche espace libre à 1,50 mètre de la cible. Le corps meurt ensuite, à moins que son cerveau lui soit restauré dans le prochain round.",,12,10,13,14,"Compétences Discrétion +4, Perception +2
Résistances aux dégâts contondant, perforant et tranchant d'attaques non magiques
Immunités aux états aveuglé
Sens vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 12
Langues comprend le profond mais ne peut pas parler, télépathie 18 m
Détection de la sentience. Le dévoreur d'intellect peut sentir la présence et localiser chaque créature ayant une Intelligence de 3 ou plus dans un rayon de 90 mètres, quelles que soient les barrières qui les séparent, à moins que la créature soit protégée par un sort d'https://www.aidedd.org/dnd/sorts.php?vf=esprit-impenetrable.",6,12,0,1,2,-2,1,0,21,450,Abbération,11,TP,12m
Flagelleur Mental,"Explosion de l'esprit (Recharge 5-6). Le flagelleur mental émet une vague d'énergie psychique dans un cône de 18 mètres. Chaque créature présente dans la zone doit réussir un jet de sauvegarde d'Intelligence DD 15 ou subir 22 (4d8 + 4) dégâts psychiques et être étourdie pendant 1 minute. Une créature peut retenter son jet de sauvegarde à la fin de chacun de ses tours, mettant fin à l'effet qui l'affecte en cas de réussite.
Extraction de cerveau. Attaque au corps à corps avec une arme : +7 au toucher, allonge 1,50 m, un humanoïde incapable d'agir et agrippé par le flagelleur mental. Touché : la cible subit 55 (10d10) dégâts perforants. Si ces dégâts font tomber les points de vie de la cible à 0, le flagelleur mental tue la cible en lui extrayant et dévorant le cerveau.
Tentacules. Attaque au corps à corps avec une arme : +7 au toucher, allonge 1,50 m, une créature. Touché : 15 (2d10 + 4) dégâts psychiques. Si la cible est de taille M ou inférieure, elle est agrippée (DD 15 pour s'échapper) et doit réussir un jet de sauvegarde d'Intelligence DD 15 ou être étourdie tant qu'elle est agrippée de cette manière.",,15,17,12,12,"Jets de sauvegarde Int +7, Sag +6, Cha +6
Compétences Arcanes +7, Discrétion +4, Intuition +6, Perception +6, Persuasion +6, Tromperie +6
Sens vision dans le noir 36 m, Perception passive 16
Langues profond, commun des profondeurs, télépathie 36 m
Résistance à la magie. Le flagelleur mental a un avantage aux jets de sauvegarde contre les sorts et autres effets magiques.
Incantation innée (psioniques). La caractéristique d'incantation innée du flagelleur mental est l'Intelligence (jet de sauvegarde contre ses sorts DD 15). Il peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :À volonté : https://www.aidedd.org/dnd/sorts.php?vf=detection-des-pensees, https://www.aidedd.org/dnd/sorts.php?vf=levitation1/jour chacun : https://www.aidedd.org/dnd/sorts.php?vf=domination-de-monstre, https://www.aidedd.org/dnd/sorts.php?vf=changement-de-plan (personnel uniquement)
",11,19,3,1,1,0,4,3,71,2900,Abbération,17,M,9m
Squelette,"Épée courte. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché : 5 (1d6 + 2) dégâts perforants.
Arc court. Attaque à distance avec une arme : +4 au toucher, portée 24/96 m, une cible. Touché : 5 (1d6 + 2) dégâts perforants.",,13,5,15,14,"Vulnérabilités aux dégâts contondant
Immunités aux dégâts poison
Immunités aux états épuisement, empoisonné
Sens vision dans le noir 18 m, Perception passive 9
Langues comprend les langues qu'il connaissait de son vivant mais ne peut pas parler
",10,6,-3,2,2,0,-2,-1,13,50,Mort-Vivant,8,M,9m
Grung,"Dague. Attaque au corps à corps ou à distance avec une arme : +4 pour toucher, allonge 1,50 m ou portée 6/18 m, une cible. Touché : 4 (1d4 + 2) dégâts perforants, et la cible doit réussir un jet de sauvegarde de Constitution DD 12 ou subir 5 (2d4) dégâts de poison.
Sarbacane. Attaque à distance avec une arme : +4 pour toucher, portée 7,5/30 m, une créature. Touché : 1 dégât perforant, et la cible doit réussir un jet de sauvegarde de Constitution DD 12 ou être empoisonnée pendant 1 minute. La cible peut retenter le jet de sauvegarde à la fin de chacun de ses tours pour mettre fin à l'effet.",,12,11,14,15,"Compétences Athlétisme +2, Perception +2, Discrétion +4, Survie +2
Immunités aux dégâts poison
Immunités aux états empoisonné
Sens Vision passive 12
Langues Grung

Amphibie. Le grung peut respirer dans l'air et dans l'eau.
Bond. Le grung peut effectuer un saut en longueur de 7,50 mètres et un saut en hauteur de 4,50 mètres, avec ou sans élan.",12,10,0,2,2,1,0,1,11,50,Humanoïde,12,P,"7,5m, escalade 7,5m"
Guerrier d’élite Grung,"Attaques multiples. Le guerrier grung effectue deux attaques avec sa cimeterre.
Cimeterre empoisonné. Attaque au corps à corps avec une arme : +4 pour toucher, allonge 1,50 m, une cible. Touché : 5 (1d6 + 2) dégâts tranchants plus 5 (2d4) dégâts de poison (jet de sauvegarde de Constitution DD 12 pour diviser les dégâts de poison par deux).",,14,11,14,15,"Compétences Athlétisme +3, Perception +3, Discrétion +4, Survie +3
Immunités aux dégâts poison
Immunités aux états empoisonné
Sens Vision passive 13
Langues Grung

Amphibie. Le grung peut respirer dans l'air et dans l'eau.
Bond. Le grung peut effectuer un saut en longueur de 7,50 mètres et un saut en hauteur de 4,50 mètres, avec ou sans élan.",12,10,0,2,2,1,0,1,27,200,Humanoïde,12,P,"7,5m, escalade 7,5m"
Chaman Grung,"Bâton rituel. Attaque au corps à corps avec une arme : +1 pour toucher, allonge 1,50 m, une cible. Touché : 2 (1d6 - 1) dégâts contondants, et la cible doit réussir un jet de sauvegarde de Constitution DD 12 ou être empoisonnée pendant 1 minute.",,13,12,14,14,"Compétences Médecine +5, Nature +2, Perception +5, Survie +5
Immunités aux dégâts poison
Immunités aux états empoisonné
Sens Vision passive 15
Langues Grung, Commun (approximatif)

Amphibie. Le grung peut respirer dans l'air et dans l'eau.
Bond. Le grung peut effectuer un saut en longueur de 7,50 mètres et un saut en hauteur de 4,50 mètres, avec ou sans élan.

Incantations. Le chaman est un lanceur de sorts de niveau 5. Sa caractéristique d'incantation est la Sagesse (DD des sorts 13, +5 pour toucher avec les attaques de sort). Il a préparé les sorts de druide suivants :
• Tours de magie (à volonté) : Vaporisation de poison, Gourdin magique, Résistance
• Niveau 1 (4 emplacements) : Enchevêtrement, Nappe de brouillard, Soins
• Niveau 2 (3 emplacements) : Croissance d'épines, Immobilisation de personne
• Niveau 3 (2 emplacements) : Invocation d'animaux (créatures du marais seulement), Nuage nauséabond",8,11,1,2,2,-1,0,3,33,450,Humanoïde,16,P,"7,5m, escalade 7,5m"
Aboleth,"Attaques multiples. L'aboleth effectue trois attaques avec ses tentacules.

Tentacule. Attaque au corps à corps avec une arme : +9 au toucher, allonge 3 m, une cible. Touché : 12 (2d6 + 5) dégâts contondants. Si la cible est une créature, elle doit réussir un jet de sauvegarde de Constitution DD 14 ou tomber malade. Cette maladie n'a aucun effet pendant 1 minute et peut être annulée par toute magie qui soigne les maladies. Après 1 minute, le teint de la créature malade devient translucide et visqueux, la créature ne peut pas récupérer de points de vie si elle n'est pas sous l'eau, et cette maladie ne peut plus être soignée que par https://www.aidedd.org/dnd/sorts.php?vf=guerison ou tout autre sort de guérison des maladies de niveau 6 ou supérieur. Lorsque la créature est en dehors d'une étendue d'eau, elle subit 6 (1d12) dégâts d'acide toutes les 10 minutes à moins que son corps ne soit humidifié avant que 10 minutes ne se soient écoulées.

Queue. Attaque au corps à corps avec une arme : +9 au toucher, allonge 3 m, une cible. Touché : 15 (3d6 + 5) dégâts contondants.

Asservissement (3/jour). L'aboleth cible une créature qu'il peut voir dans un rayon de 9 mètres autour de lui. La cible doit réussir un jet de sauvegarde de Sagesse DD 14 ou être charmée magiquement par l'aboleth jusqu'à ce que l'aboleth ne meure ou se trouve sur un plan d'existence différent de celui de la cible. La cible charmée est sous le contrôle de l'aboleth et ne peut pas utiliser de réaction, de plus l'aboleth et la cible peuvent communiquer par télépathie entre eux quelle que soit la distance. Chaque fois que la cible subit des dégâts, elle peut retenter son jet de sauvegarde. Si elle le réussit, l'effet se termine. Pas plus d'une fois toutes les 24 heures, la cible peut également retenter son jet de sauvegarde lorsqu'elle se trouve à plus de 1,5 kilomètre de l'aboleth.","L'aboleth peut effectuer 3 actions légendaires, en choisissant parmi les options suivantes. Une seule action légendaire peut être utilisée à la fois, et seulement à la fin du tour d'une autre créature. L'aboleth récupère les actions légendaires dépensées au début de son tour.

Détection. L'aboleth effectue un jet de Sagesse (Perception).

Attaque avec la queue. L'aboleth effectue une attaque avec sa queue.

Absorption psychique (coûte 2 actions). Une créature charmée par l'aboleth subit 10 (3d6) dégâts psychiques, et l'aboleth récupère un montant de point de vie égal aux dégâts que cette créature a subis.",17,18,15,9,"Jets de sauvegarde Con +6, Int +8, Sag +6
Compétences Histoire +12, Perception +10
Sens vision dans le noir 36 m, Perception passive 20
Langues profond, télépathie 36 m)

Amphibien. L'aboleth peut respirer aussi bien dans l'air que sous l'eau.

Nuage de mucus. Lorsqu'il est sous l'eau, l'aboleth est entouré d'un mucus altérant. Une créature qui touche l'aboleth ou qui le frappe lors d'une attaque au corps à corps en se trouvant à 1,50 mètre ou moins de lui, doit effectuer un jet de sauvegarde de Constitution DD 14. Si elle l'échoue, la créature tombe malade pour les 1d4 prochaines heures. Une créature malade ne peut respirer que sous l'eau.

Pénétration télépathique. Si une créature communique par télépathie avec l'aboleth, l'aboleth découvre les plus grands désirs de la créature, à condition qu'il puisse voir la créature.",21,18,4,2,-1,5,4,2,135,5900,Abbération,15,G,"3m, nage 12m"
Kuo-Toa,"Morsure. Attaque au corps à corps avec une arme : +3 au toucher, allonge 1,50 m, une cible. Touché : 3 (1d4 + 1) dégâts perforants.
Lance. Attaque au corps à corps ou à distance avec une arme : +3 au toucher, allonge 1,50 m ou portée 6/18 m, une cible. Touché : 4 (1d6 + 1) dégâts perforants, ou 5 (1d8 + 1) dégâts perforants si utilisée à deux mains pour faire une attaque au corps à corps.

Filet. Attaque à distance avec une arme : +3 au toucher, portée 1,50/4,50 m, une créature de taille G ou inférieure. Touché : la cible est entravée. Une créature peut utiliser son action pour effectuer un jet de Force DD 10 pour se libérer elle-même, ou pour libérer une autre créature prise dans le filet, mettant ainsi fin à cet effet en cas de réussite. Infliger 5 points de dégâts tranchants au filet (CA 10) libère la cible, sans la blesser, en détruisant le filet.

Réactions :

Bouclier collant. Lorsqu'une créature rate le kuo-toa avec une attaque au corps à corps avec une arme, le kuo-toa utilise son bouclier collant pour attraper l'arme. L'attaquant doit réussir un jet de sauvegarde de Force DD 11 ou voir son arme se coller au bouclier du kuo-toa. Si le porteur de l'arme ne peut pas, ou ne veut pas, la lâcher, il est agrippé jusqu'à ce que l'arme ne soit plus collée. Tant qu'elle adhère au bouclier, l'arme ne peut pas être utilisée. Une créature peut libérer l'arme en utilisant son action pour effectuer un jet de Force DD 11 et en le réussissant.

",,13,8,11,10,"Compétences Perception +4
Sens vision dans le noir 36 m, Perception passive 14
Langues commun des profondeurs

Amphibien. Le kuo-toa peut respirer aussi bien dans l'air que sous l'eau.

Perception d'un autre monde. Le kuo-toa peut ressentir la présence de toute créature dans un rayon de 9 mètres qui est invisible ou se trouve dans le plan éthéré. Il peut localiser de telles créatures lorsqu'elles se déplacent.

Visqueux. Le kuo-toa a un avantage aux jets de caractéristique et de sauvegarde effectués pour échapper à l'état agrippé.

Sensibilité au soleil. S'il est exposé à la lumière du soleil, le kuo-toa a un désavantage aux jets d'attaque et aux jets de Sagesse (Perception) basés sur la vue.",13,11,-1,0,0,1,0,0,18,50,Humanoïde,10,M,"9 m, nage 9 m"
Ettercap,"Attaques multiples. L'ettercap effectue deux attaques : une de morsure et une avec ses griffes.

Griffes. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché : 7 (2d4 + 2) dégâts tranchants.

Morsure. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une créature. Touché : 6 (1d8 + 2) dégâts perforants + 4 (1d8) dégâts de poison. La cible doit réussir un jet de sauvegarde de Constitution DD 11 ou être empoisonnée pendant 1 minute. La créature peut recommencer ce jet de sauvegarde à la fin de chacun de ses tours, mettant fin à l'effet qui l'affecte en cas de réussite.

Toile d'araignée (Recharge 5-6). Attaque à distance avec une arme : +4 au toucher, portée 9/18 m, une créature de taille G ou inférieure. Touché : la créature est entravée par la toile. Par une action, la créature entravée peut effectuer un jet de Force DD 11, s'échappant de la toile en cas de réussite. L'effet se termine si la toile est détruite. La toile a une CA de 10, 5 points de vie, est vulnérable aux dégâts de feu et immunisée contre les dégâts contondants, de poison et psychiques.",,13,8,13,15,"Compétences Discrétion +4, Perception +3, Survie +3
Sens vision dans le noir 18 m, Perception passive 13
Langues —

Pattes d'araignée. L'ettercap peut escalader des surfaces difficiles et être au plafond la tête en bas sans avoir besoin d'effectuer un jet de caractéristique.

Sens de la toile. Lorsqu'il est en contact avec une toile, l'ettercap connait l'emplacement exact de toutes les créatures qui sont en contact avec cette toile.

Déplacement sur la toile. L'ettercap ignore les restrictions de mouvement causées par une toile d'araignée.",14,7,-1,1,2,2,-2,1,44,450,Monstruosité,12,," 9 m, escalade 9 m"
Araignée de phase,"Morsure. Attaque au corps à corps avec une arme : +4 au
toucher, allonge 1,50 m, une créature. Touché : 7 (1d10 + 2)
dégâts perforants, et la cible doit réaliser un jet de
sauvegarde de Constitution DD 11. En cas d'échec, elle
prend 18 (4d8) dégâts de poison, ou la moitié en cas de
réussite. Si les dégâts de poison réduisent la cible à 0 point
de vie, celle-ci est stable mais empoisonnée durant 1 heure,
même après avoir regagné des points de vie, et est
paralysée tant qu'elle est empoisonnée de cette manière.",,13,6,12,15,"Saut éthérée. Par une action bonus, l'araignée peut
magiquement passer du plan matériel au plan éthéré, et vice
versa.
Pattes d'araignée. L'araignée peut escalader des surfaces
difficiles, même des plafonds la tête en bas, sans avoir
besoin d'effectuer un jet de caractéristique.
Déplacement sur la toile. L'araignée ignore les restrictions
de mouvement causées par une toile d'araignée.
",15,6,-2,1,2,2,-2,0,32,700,Monstruosité,10,G,"9m, escalade 9m"
Capitaine Pirate,(voir pg 258 du manuel des monstres 2025),,17,17,14,18,(voir pg 258 du manuel des monstres 2025),10,10,3,2,4,0,0,2,84,2300,Humanoïde,14,,9m
Vouivre,( voir pg 335 manuel des monstres),,14,6,16,10,( voir pg 335 manuel des monstres),19,5,-2,3,0,4,-3,1,127,2300,Dragon,12,G,"9m, vol 24m"
Crânefeu,(voir pg 54 du manuel des monstres,,13,11,14,17,(voir pg 54 du manuel des monstres),1,16,0,2,3,-5,3,0,40,1100,Mort-Vivant,10,TP,"1,5m, vol 12m"
Enlaceur,(voir pg 132 du manuel des monstres),,20,6,17,8,(voir pg 132 du manuel des monstres),18,7,-2,3,-1,4,-2,3,93,1800,Abbération,16,,"3m, escalade 6m"